id,saleprice
2658,151347.95755351166
2718,193520.48676322357
2414,221521.54672552153
1989,130331.40752035647
625,181390.74646870844
333,88279.73273226497
1327,103564.77835737773
858,153486.5884312321
95,183537.7832941716
1568,164352.09078969638
2482,174702.94076530347
1364,128570.52643048181
2584,162250.7875110386
818,241538.62591762206
2673,161653.71880911168
2089,100946.65933034313
1297,166697.29892442736
790,124522.09026527
2616,194574.9830928154
720,219984.67454374797
222,143130.88460522957
557,123365.79646551638
1148,206576.88689330715
2766,166110.80764187558
534,188210.25857294738
1452,115279.0204624128
630,133488.48157154527
2648,150711.9283085916
125,162568.0767065625
1904,35676.07610593809
1670,104372.71703259603
756,105408.99161870488
717,251770.20042855293
1032,166393.9924032618
852,220185.6363099179
1731,182848.51114538327
2639,126677.29971210723
2071,54160.75604483894
1267,112809.6788139611
1851,195226.9875463278
567,167986.49336023148
2439,212308.06880488043
1898,154573.31795899814
647,166810.97734392274
2256,231453.72735774954
979,94575.36772706169
1444,222207.0769738994
2485,117696.69462869511
157,114020.55847228413
88,130190.51065277641
2003,121700.51157444261
186,203284.9547289376
1425,247590.40469301108
2695,131776.77835016843
738,108767.14078859806
395,151171.17473927265
1353,171505.91338592977
1878,146680.0176983046
390,173665.07644152976
1456,230910.86217338804
1103,314681.9863707926
1387,154865.67366957266
2070,152031.72072999048
1199,178598.78337862456
2479,180417.20563932328
501,296021.56100085686
2362,96590.2093287129
1718,219773.38943117746
2188,79749.2523488329
1483,166603.81683594995
2557,83762.57293384928
437,330310.7428117781
2224,210333.43553660784
1628,171418.40270115115
397,130259.38461241602
587,214679.92421358367
2182,555891.0185809063
971,128088.98406092884
2611,154133.6612004031
1887,72227.74368593964
2399,345041.33481065865
2148,212164.09279193822
304,135459.9514313448
1997,138072.4540212842
2817,115916.0966578927
1431,186854.62048425814
427,341311.99144392984
263,120590.47300910379
598,191883.89053116244
2895,242023.9365869712
687,147515.31441545716
1822,136250.377073368
2191,105675.6510836485
179,116429.77182466767
1009,234027.6828735489
2010,117338.92728990508
1991,151880.28711692904
1411,187426.96973843052
1721,242370.3533045369
1144,191362.13087070893
593,214047.19849433383
575,304325.27700996376
1249,178162.52468571698
1604,117232.14263189601
1064,425321.80820979545
1923,167480.1408873433
1988,105436.79382340358
2325,170276.5068082868
114,202412.93575250544
2700,201243.2014410164
217,158344.83052746538
343,193053.39510759898
386,226347.2748695271
2005,91784.53769300217
2908,129858.23069415012
1814,244070.55886242026
2446,430718.3355156961
208,143358.4887586598
1679,114068.90373398291
822,315926.4642982265
6,187780.27225602654
1781,377269.39314640465
2397,292898.73439880816
2340,301248.6175400556
1618,157100.37146726574
2843,153481.68163542106
1061,335878.6516316588
2786,115182.39683672087
1935,138360.32015718863
1341,115072.15705561933
521,258838.15775458355
2136,136581.26292905447
996,185102.87835753092
227,143347.88961992232
135,182489.42919495364
1167,148330.70140183312
294,233067.15449580367
1776,213518.43634023998
540,183360.96383220676
